2026-01-10 00:03:17,807 | root | INFO | Cogs loaded!
2026-01-10 00:03:17,809 | disnake.client | INFO | logging in using static token
2026-01-10 00:03:18,840 | disnake.gateway | INFO | Shard ID None has sent the IDENTIFY payload.
2026-01-10 00:03:19,353 | disnake.gateway | INFO | Shard ID None has connected to Gateway: ["gateway-prd-arm-us-east1-c-0l1l",{"micros":315072,"calls":["id_created",{"micros":543,"calls":[]},"session_lookup_time",{"micros":3124,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-11",{"micros":310954,"calls":["start_session",{"micros":300283,"calls":["discord-api-rpc-5b74c95774-p8qpw",{"micros":259648,"calls":["get_user",{"micros":180306},"get_guilds",{"micros":3031},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":612},"apex_experiments",{"micros":32172},"user_activities",{"micros":4},"played_application_ids",{"micros":2},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":379,"calls":[]},"guilds_started",{"micros":82,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":10113,"calls":[]},"connect_finished",{"micros":10127,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}] (Session ID: 06d80af802034fe1c8d99da6b3b65f0a, Resume URL: wss://gateway-us-east1-c.discord.gg).
2026-01-10 00:03:21,374 | root | INFO | Bot is ready!
2026-01-10 00:03:21,382 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:03:21,387 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:03:21,388 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:03:21,388 | cogs.shop | INFO | Connection pool inited
2026-01-10 00:03:27,834 | views.inventoryView | ERROR | Inventory view function error: 'MyRolesView' object has no attribute 'autopay'
2026-01-10 00:03:32,698 | views.inventoryView | ERROR | Inventory view function error: 'MyRolesView' object has no attribute 'autopay'
2026-01-10 00:07:17,764 | disnake.client | INFO | Received signal to terminate bot and event loop.
2026-01-10 00:07:17,764 | disnake.client | INFO | Cleaning up tasks.
2026-01-10 00:07:17,764 | disnake.client | INFO | Cleaning up after 1 tasks.
2026-01-10 00:07:17,921 | disnake.client | INFO | Closing the event loop.
2026-01-10 00:07:29,691 | root | INFO | Cogs loaded!
2026-01-10 00:07:29,691 | disnake.client | INFO | logging in using static token
2026-01-10 00:07:30,583 | disnake.gateway | INFO | Shard ID None has sent the IDENTIFY payload.
2026-01-10 00:07:30,996 | disnake.gateway | INFO | Shard ID None has connected to Gateway: ["gateway-prd-arm-us-east1-d-f6pp",{"micros":236714,"calls":["id_created",{"micros":438,"calls":[]},"session_lookup_time",{"micros":249,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-63",{"micros":235711,"calls":["start_session",{"micros":231787,"calls":["discord-api-rpc-5b74c95774-pt78g",{"micros":60052,"calls":["get_user",{"micros":10571},"get_guilds",{"micros":2401},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":384},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":536},"apex_experiments",{"micros":163495},"user_activities",{"micros":7},"played_application_ids",{"micros":4},"linked_users",{"micros":4}]}]},"starting_guild_connect",{"micros":24,"calls":[]},"presence_started",{"micros":313,"calls":[]},"guilds_started",{"micros":62,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":3465,"calls":[]},"connect_finished",{"micros":3479,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}] (Session ID: cfeb191e0bf2b965deae2ebe587191ed, Resume URL: wss://gateway-us-east1-d.discord.gg).
2026-01-10 00:07:33,078 | root | INFO | Bot is ready!
2026-01-10 00:07:33,078 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:07:33,078 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:07:33,078 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:07:33,078 | cogs.shop | INFO | Connection pool inited
2026-01-10 00:07:41,234 | views.inventoryView | ERROR | My roles view callback function error: 'int' object is not subscriptable
2026-01-10 00:08:42,293 | disnake.client | INFO | Received signal to terminate bot and event loop.
2026-01-10 00:08:42,294 | disnake.client | INFO | Cleaning up tasks.
2026-01-10 00:08:42,294 | disnake.client | INFO | Cleaning up after 3 tasks.
2026-01-10 00:08:42,468 | disnake.client | INFO | All tasks finished cancelling.
2026-01-10 00:08:42,468 | disnake.client | INFO | Closing the event loop.
2026-01-10 00:08:48,445 | root | INFO | Cogs loaded!
2026-01-10 00:08:48,445 | disnake.client | INFO | logging in using static token
2026-01-10 00:08:49,642 | disnake.gateway | INFO | Shard ID None has sent the IDENTIFY payload.
2026-01-10 00:08:50,075 | disnake.gateway | INFO | Shard ID None has connected to Gateway: ["gateway-prd-arm-us-east1-d-7tvt",{"micros":244893,"calls":["id_created",{"micros":431,"calls":[]},"session_lookup_time",{"micros":404,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-183",{"micros":242023,"calls":["start_session",{"micros":232119,"calls":["discord-api-rpc-5b74c95774-kzx8h",{"micros":189359,"calls":["get_user",{"micros":10258},"get_guilds",{"micros":6734},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":3069},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":594},"apex_experiments",{"micros":31519},"user_activities",{"micros":6},"played_application_ids",{"micros":10},"linked_users",{"micros":4}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":8398,"calls":[]},"guilds_started",{"micros":60,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":1351,"calls":[]},"connect_finished",{"micros":1367,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":34,"calls":[]}]}]}] (Session ID: ee2cb45a370f795cb193b0db0ea24659, Resume URL: wss://gateway-us-east1-d.discord.gg).
2026-01-10 00:08:52,090 | root | INFO | Bot is ready!
2026-01-10 00:08:52,097 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:08:52,101 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:08:52,102 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:08:52,102 | cogs.shop | INFO | Connection pool inited
2026-01-10 00:08:58,875 | views.inventoryView | ERROR | My roles view callback function error: row cannot be negative or greater than or equal to 5
2026-01-10 00:11:21,036 | disnake.client | INFO | Received signal to terminate bot and event loop.
2026-01-10 00:11:21,036 | disnake.client | INFO | Cleaning up tasks.
2026-01-10 00:11:21,036 | disnake.client | INFO | Cleaning up after 1 tasks.
2026-01-10 00:11:21,224 | disnake.client | INFO | Closing the event loop.
2026-01-10 00:11:27,307 | root | INFO | Cogs loaded!
2026-01-10 00:11:27,308 | disnake.client | INFO | logging in using static token
2026-01-10 00:11:28,426 | disnake.gateway | INFO | Shard ID None has sent the IDENTIFY payload.
2026-01-10 00:11:28,738 | disnake.gateway | INFO | Shard ID None has connected to Gateway: ["gateway-prd-arm-us-east1-d-f5pt",{"micros":108914,"calls":["id_created",{"micros":615,"calls":[]},"session_lookup_time",{"micros":260,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-69",{"micros":107703,"calls":["start_session",{"micros":89826,"calls":["discord-api-rpc-5b74c95774-2wlnm",{"micros":49984,"calls":["get_user",{"micros":6281},"get_guilds",{"micros":3484},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":3486},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":597},"apex_experiments",{"micros":32064},"user_activities",{"micros":7},"played_application_ids",{"micros":4},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":8833,"calls":[]},"guilds_started",{"micros":60,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":0,"calls":[]},"presence_connect",{"micros":8890,"calls":[]},"connect_finished",{"micros":8903,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":36,"calls":[]}]}]}] (Session ID: 201bb227e9e539c2444309559476b561, Resume URL: wss://gateway-us-east1-d.discord.gg).
2026-01-10 00:11:30,731 | root | INFO | Bot is ready!
2026-01-10 00:11:30,737 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:11:30,743 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:11:30,743 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:11:30,743 | cogs.shop | INFO | Connection pool inited
2026-01-10 00:12:26,281 | views.inventoryView | ERROR | Personal role menu callback function error: get_role_data() missing 1 required positional argument: 'settings'
2026-01-10 00:12:30,936 | views.inventoryView | ERROR | Personal role menu callback function error: get_role_data() missing 1 required positional argument: 'settings'
2026-01-10 00:13:42,815 | views.inventoryView | ERROR | Off autopay function error: get_role_data() missing 1 required positional argument: 'settings'
2026-01-10 00:14:22,145 | disnake.client | INFO | Received signal to terminate bot and event loop.
2026-01-10 00:14:22,145 | disnake.client | INFO | Cleaning up tasks.
2026-01-10 00:14:22,145 | disnake.client | INFO | Cleaning up after 3 tasks.
2026-01-10 00:14:22,317 | disnake.client | INFO | Closing the event loop.
2026-01-10 00:14:28,372 | root | INFO | Cogs loaded!
2026-01-10 00:14:28,373 | disnake.client | INFO | logging in using static token
2026-01-10 00:14:39,740 | disnake.gateway | INFO | Shard ID None has sent the IDENTIFY payload.
2026-01-10 00:14:40,071 | disnake.gateway | INFO | Shard ID None has connected to Gateway: ["gateway-prd-arm-us-east1-c-cnmz",{"micros":95617,"calls":["id_created",{"micros":582,"calls":[]},"session_lookup_time",{"micros":1097,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-23",{"micros":92732,"calls":["start_session",{"micros":85840,"calls":["discord-api-rpc-5b74c95774-sbkc5",{"micros":34557,"calls":["get_user",{"micros":6219},"get_guilds",{"micros":2905},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":425},"apex_experiments",{"micros":42059},"user_activities",{"micros":6},"played_application_ids",{"micros":2},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":35,"calls":[]},"presence_started",{"micros":1840,"calls":[]},"guilds_started",{"micros":59,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":4889,"calls":[]},"connect_finished",{"micros":4903,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":40,"calls":[]}]}]}] (Session ID: 376dd34f8dd09115b4b04b49b8785b6e, Resume URL: wss://gateway-us-east1-c.discord.gg).
2026-01-10 00:14:42,096 | root | INFO | Bot is ready!
2026-01-10 00:14:42,229 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:14:42,229 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:14:42,229 | methods.settings | INFO | Connection pool inititalized
2026-01-10 00:14:42,229 | cogs.shop | INFO | Connection pool inited
2026-01-10 00:14:58,368 | cogs.shop | ERROR | Shop command function error: object list can't be used in 'await' expression
2026-01-10 00:15:11,078 | methods.pay_arend | ERROR | Pay arend function error: parameters are of unsupported type
2026-01-10 00:15:11,489 | views.inventoryView | ERROR | Personal role menu callback function error: This interaction has already been responded to before
2026-01-10 00:20:10,943 | disnake.client | INFO | Received signal to terminate bot and event loop.
2026-01-10 00:20:10,943 | disnake.client | INFO | Cleaning up tasks.
2026-01-10 00:20:10,944 | disnake.client | INFO | Cleaning up after 1 tasks.
2026-01-10 00:20:11,123 | disnake.client | INFO | Closing the event loop.
